train_id,adult_males,subadult_males,adult_females,juveniles,pups
0,62,12,486,42,344
1,2,20,0,12,0
2,2,0,37,19,0
3,6,9,2,0,0
4,6,4,14,4,19
5,2,5,20,18,0
6,9,5,76,4,51
7,5,4,7,5,0
8,3,5,36,13,0
9,8,9,13,1,7
10,1,5,20,13,0
11,1,1,0,27,0
12,2,3,33,56,0
13,1,1,32,35,0
14,4,4,60,18,0
15,2,3,0,0,0
16,7,3,34,24,1
17,7,21,31,4,1
18,1,1,0,5,0
19,1,0,1,6,0
20,4,2,0,0,0
21,1,2,0,0,0
22,0,8,0,4,0
23,1,4,0,8,0
24,2,0,0,0,0
25,4,4,44,15,0
26,3,2,20,76,1
27,18,6,159,18,111
28,0,1,18,8,0
29,4,1,0,0,0
30,8,17,0,0,0
31,1,2,5,0,0
32,3,0,33,0,0
33,10,14,62,10,15
34,2,2,62,7,0
35,15,0,85,18,59
36,7,4,10,1,0
37,28,4,338,47,189
38,3,2,25,15,0
39,4,7,100,27,0
40,1,4,0,0,0
41,13,14,48,3,33
42,5,10,66,24,0
43,0,0,4,15,0
44,1,0,0,0,0
45,9,13,10,35,0
46,2,3,20,23,0
47,2,1,15,6,0
48,2,5,22,26,0
49,6,2,59,74,0
50,9,3,91,5,93
51,2,1,0,0,0
52,37,17,143,71,145
53,6,4,16,54,1
54,5,4,0,0,0
55,0,0,1,0,0
56,6,2,221,28,1
57,7,22,58,15,59
58,5,5,6,0,0
59,29,8,267,14,270
60,8,5,23,17,2
61,9,3,30,4,25
62,4,3,3,0,0
63,4,2,46,31,14
64,9,11,15,636,0
65,13,3,56,37,20
66,3,0,20,6,7
67,1,2,0,3,0
68,3,1,0,34,0
69,5,3,0,0,0
70,19,11,136,37,83
71,2,2,6,0,5
72,11,5,37,0,26
73,0,11,0,19,0
74,0,0,37,17,0
75,5,2,45,41,0
76,1,1,0,12,0
77,0,1,0,0,0
78,2,2,4,2,2
79,7,1,42,16,0
80,1,2,1,24,0
81,1,0,17,12,0
82,17,0,229,1,156
83,3,5,1,1,1
84,23,21,144,100,62
85,4,4,17,0,0
86,5,0,19,58,0
87,9,3,167,5,0
88,0,6,0,0,0
89,3,1,11,68,0
90,12,3,50,4,27
91,10,0,85,56,0
92,13,0,92,3,73
93,3,0,0,0,0
94,3,3,38,43,0
95,2,0,32,13,3
96,0,4,0,5,0
97,7,11,3,1,2
98,3,4,0,3,0
99,4,2,35,4,27
100,16,8,95,13,78
101,23,9,123,40,80
102,11,20,387,190,0
103,0,9,10,3,0
104,5,7,12,0,9
105,0,13,0,4,0
106,0,0,4,9,0
107,0,1,1,0,0
108,1,1,10,43,0
109,7,7,19,2,11
110,2,0,5,1,3
111,6,1,90,7,67
112,11,43,37,13,0
113,0,0,1,0,0
114,19,8,104,84,46
115,6,1,36,29,8
116,36,14,127,7,117
117,1,9,15,64,0
118,11,22,53,43,0
119,0,3,0,36,0
120,13,30,43,17,0
121,5,11,25,73,2
122,2,2,0,0,0
123,1,1,2,2,0
124,3,2,14,6,0
125,1,0,10,4,0
126,1,9,3,21,0
127,6,3,0,0,0
128,1,0,25,12,0
129,2,4,9,0,8
130,1,2,0,0,0
131,5,28,0,16,0
132,1,1,3,5,0
133,0,1,0,0,0
134,8,0,18,0,20
135,4,9,60,70,0
136,4,1,24,23,5
137,6,4,44,4,26
138,0,2,0,5,0
139,2,5,0,2,0
140,0,2,0,0,0
141,5,4,0,0,0
142,12,27,0,0,0
143,6,13,62,25,0
144,23,11,114,5,64
145,2,1,11,0,0
146,1,1,15,0,0
147,20,0,90,3,87
148,0,6,0,0,0
149,12,5,199,65,30
150,2,5,5,0,0
151,4,1,58,37,0
152,11,8,89,15,72
153,32,15,248,14,169
154,2,5,4,3,0
155,5,5,56,25,0
156,1,0,0,0,0
157,6,4,5,101,0
158,4,2,35,14,11
159,10,0,81,4,67
160,0,23,3,37,0
161,2,0,6,23,0
162,4,0,6,6,0
163,4,0,34,0,29
164,2,0,4,17,0
165,17,9,92,6,56
166,2,9,0,8,0
167,2,0,1,0,0
168,0,5,0,1,0
169,3,1,7,4,0
170,6,6,48,37,2
171,1,2,13,10,0
172,6,7,31,28,0
173,8,1,13,0,8
174,3,4,112,146,0
175,54,14,591,8,434
176,1,3,10,19,0
177,64,40,382,23,135
178,1,0,2,6,0
179,1,5,0,0,0
180,1,0,0,0,0
181,2,1,29,15,0
182,1,0,0,0,0
183,4,0,63,24,0
184,12,8,106,11,64
185,7,3,79,6,62
186,3,2,0,0,0
187,1,0,0,0,0
188,36,3,56,2,5
189,9,2,44,13,33
190,3,0,11,23,0
191,8,8,43,59,2
192,4,8,1,6,1
193,14,1,135,10,68
194,0,5,1,19,1
195,0,2,0,2,0
196,4,3,0,0,0
197,4,9,0,1,0
198,2,9,1,15,0
199,19,4,185,20,243
200,4,6,16,0,0
201,11,12,26,44,6
202,4,0,18,5,5
203,5,0,28,0,33
204,16,4,140,12,142
205,0,2,0,1,0
206,11,7,37,39,0
207,0,1,0,0,0
208,6,1,26,9,2
209,2,0,0,0,0
210,0,0,1,0,0
211,12,1,58,3,68
212,0,1,22,6,0
213,17,8,207,3,144
214,5,1,52,111,0
215,1,9,61,38,0
216,1,1,0,1,0
217,0,0,16,5,0
218,7,4,7,1,1
219,9,2,21,1,16
220,1,0,0,0,0
221,0,3,277,99,135
222,3,0,29,44,0
223,0,1,29,38,0
224,3,3,8,1,3
225,4,10,8,17,0
226,25,8,160,23,113
227,3,0,101,54,0
228,4,0,0,0,0
229,1,1,3,13,0
230,7,2,74,29,8
231,5,3,24,31,1
232,3,1,34,18,0
233,4,0,64,34,0
234,4,8,13,38,0
235,2,4,2,0,0
236,1,0,5,31,0
237,21,2,105,15,67
238,2,0,0,0,0
239,2,9,7,1,6
240,0,3,0,0,0
241,15,0,92,53,59
242,1,11,23,53,9
243,19,11,350,265,1
244,4,3,32,20,0
245,3,1,8,51,0
246,3,4,29,9,2
247,3,0,34,31,5
248,12,2,57,32,23
249,0,0,3,3,0
250,1,5,0,0,0
251,4,0,39,35,0
252,14,8,62,14,44
253,3,2,0,0,0
254,3,0,21,28,0
255,30,7,288,34,217
256,0,2,0,4,0
257,14,3,296,7,250
258,1,0,0,0,0
259,1,1,25,40,0
260,6,3,37,0,0
261,5,6,68,101,0
262,5,0,18,19,2
263,1,0,8,4,0
264,12,5,19,3,29
265,3,3,51,20,0
266,0,3,3,0,0
267,4,7,26,12,0
268,2,0,16,15,0
269,0,2,0,0,0
270,2,2,0,0,0
271,10,8,1,0,0
272,4,0,12,15,1
273,0,2,38,15,0
274,41,20,275,23,237
275,5,5,50,42,1
276,6,4,38,2,31
277,1,1,2,5,0
278,16,6,51,29,26
279,1,6,0,2,0
280,3,36,24,39,0
281,22,10,172,18,183
282,27,9,209,32,55
283,6,3,7,11,0
284,6,3,67,5,35
285,1,0,0,34,0
286,1,2,0,25,0
287,2,3,0,82,0
288,1,2,3,0,0
289,14,4,71,45,17
290,8,0,17,6,17
291,0,2,4,2,0
292,5,0,61,23,8
293,4,8,95,29,0
294,1,1,21,14,0
295,5,3,83,30,0
296,1,2,0,0,0
297,1,2,0,0,0
298,5,0,0,1,0
299,1,2,34,16,0
300,2,9,33,42,1
301,17,12,145,68,49
302,16,4,227,39,11
303,2,3,0,1,0
304,8,3,63,22,10
305,2,0,1,0,1
306,2,3,12,33,0
307,0,2,2,79,0
308,1,3,69,80,0
309,0,2,4,0,0
310,4,4,18,4,13
311,18,3,72,6,49
312,1,0,25,65,0
313,10,4,57,27,21
314,0,15,0,74,0
315,9,14,21,39,9
316,6,36,18,12,0
317,10,2,77,18,27
318,0,3,4,86,0
319,36,7,275,41,248
320,2,2,5,0,0
321,21,4,181,23,145
322,0,1,0,1,0
323,3,0,21,16,0
324,2,1,4,2,3
325,1,0,16,2,0
326,7,1,46,39,0
327,10,55,2,23,0
328,0,2,0,17,0
329,24,29,21,11,0
330,4,13,0,0,0
331,1,0,0,0,0
332,2,1,0,0,0
333,5,4,78,29,0
334,2,1,31,4,0
335,0,4,0,1,0
336,0,0,1,0,0
337,4,1,0,0,0
338,0,3,0,38,0
339,10,3,51,12,46
340,2,4,23,77,0
341,26,1,146,37,54
342,18,1,127,4,97
343,1,7,4,53,1
344,6,0,24,0,45
345,3,6,0,0,0
346,1,1,2,2,0
347,15,4,99,4,55
348,5,0,36,3,34
349,8,41,0,24,0
350,9,4,43,7,16
351,15,2,62,5,49
352,29,6,136,33,82
353,12,6,69,54,6
354,0,0,36,43,0
355,3,0,0,0,0
356,2,3,24,4,0
357,8,5,27,2,29
358,5,1,43,1,0
359,4,7,23,45,5
360,1,0,0,0,0
361,1,0,12,21,0
362,8,8,70,123,0
363,2,2,0,1,0
364,4,1,15,8,10
365,2,0,0,0,0
366,1,0,12,24,0
367,0,1,42,14,0
368,4,5,4,2,3
369,7,3,8,0,8
370,2,0,15,19,0
371,7,6,33,2,21
372,1,2,0,0,0
373,2,0,23,15,0
374,1,11,0,2,0
375,2,1,2,0,0
376,1,4,0,11,0
377,6,13,30,70,0
378,3,1,7,0,0
379,8,8,33,32,16
380,6,11,300,71,0
381,1,17,21,195,2
382,2,0,12,1,6
383,1,2,4,7,0
384,5,2,4,0,0
385,9,5,45,2,34
386,4,0,13,6,1
387,1,2,0,0,0
388,17,0,329,345,0
389,5,7,104,61,0
390,8,2,0,0,0
391,3,7,10,13,0
392,4,0,20,2,0
393,2,34,7,339,0
394,6,2,4,0,0
395,10,6,139,150,0
396,3,1,0,0,0
397,8,6,13,4,16
398,10,0,93,19,90
399,0,4,0,4,0
400,1,0,34,18,0
401,0,1,14,16,0
402,2,6,11,42,5
403,1,3,4,28,0
404,1,0,1,1,0
405,3,18,19,25,0
406,4,0,10,6,1
407,0,1,5,7,0
408,4,8,23,23,0
409,0,3,5,43,0
410,7,3,21,101,0
411,0,4,1,19,0
412,2,1,0,0,0
413,30,1,215,4,192
414,15,6,169,0,123
415,2,3,21,16,0
416,2,13,4,7,0
417,1,0,8,15,0
418,1,2,5,23,0
419,4,1,12,35,0
420,1,4,0,0,0
421,1,0,11,16,0
422,9,1,62,19,32
423,0,4,0,2,0
424,2,1,2,1,1
425,1,6,0,0,0
426,1,0,0,0,0
427,2,3,44,29,0
428,36,7,207,9,100
429,2,1,9,20,0
430,2,5,22,35,1
431,3,0,49,17,2
432,3,3,5,0,0
433,2,1,5,13,0
434,1,9,7,6,0
435,15,7,58,3,30
436,1,1,22,20,0
437,1,2,17,40,0
438,14,6,59,6,58
439,6,0,57,7,7
440,0,1,0,16,0
441,10,2,94,171,0
442,3,1,9,3,7
443,1,4,0,0,0
444,8,14,39,10,0
445,0,0,1,1,0
446,4,2,7,4,0
447,6,4,45,15,0
448,2,0,19,60,0
449,1,2,7,26,0
450,9,0,42,38,0
451,9,5,50,16,14
452,8,9,49,12,44
453,5,4,0,0,0
454,3,2,30,9,1
455,3,2,4,45,0
456,7,1,44,6,33
457,1,2,3,30,0
458,6,40,0,5,0
459,10,6,45,35,0
460,3,2,0,1,1
461,3,0,0,0,0
462,6,11,145,78,0
463,2,0,2,16,0
464,0,0,9,1,0
465,2,1,9,20,1
466,0,21,0,65,0
467,24,44,72,19,53
468,2,0,20,2,20
469,0,2,5,0,4
470,1,2,0,0,0
471,0,1,1,18,0
472,2,6,0,1,0
473,2,0,2,3,0
474,6,3,59,32,0
475,0,5,6,31,0
476,2,0,0,3,0
477,1,8,0,41,0
478,0,0,9,21,0
479,0,0,4,1,0
480,23,10,86,63,43
481,5,1,0,0,0
482,3,4,16,27,0
483,1,4,0,0,0
484,7,0,8,2,7
485,6,3,260,109,0
486,0,8,2,1,0
487,13,3,92,14,61
488,2,1,4,0,0
489,4,7,59,30,0
490,6,3,44,17,13
491,6,2,21,0,0
492,1,0,7,5,0
493,5,3,67,43,5
