test_id,adult_males,subadult_males,adult_females,juveniles,pups
0,1,2,10,15,2
1,1,1,3,3,0
2,4,5,55,23,22
3,2,3,10,8,0
4,3,5,21,24,3
5,4,3,39,10,19
6,2,1,6,4,3
7,5,2,28,4,22
8,2,4,10,7,2
9,5,8,35,60,9
10,4,3,27,5,21
11,2,1,13,3,7
12,2,3,14,6,8
13,1,1,11,9,7
14,1,8,19,60,4
15,6,4,64,30,17
16,2,6,20,16,8
17,5,5,26,14,11
18,2,1,6,5,0
19,1,4,5,14,0
20,6,6,53,4,40
21,2,1,5,6,3
22,8,4,57,24,32
23,1,2,7,3,4
24,3,8,38,91,13
25,2,2,8,5,1
26,1,3,9,6,0
27,5,4,24,20,10
28,2,4,7,5,2
29,2,5,11,9,5
30,2,3,15,2,12
31,6,3,31,5,22
32,1,3,15,2,8
33,3,1,26,21,0
34,0,3,8,8,2
35,2,2,9,7,6
36,2,3,12,12,4
37,5,3,29,2,21
38,6,3,26,30,3
39,2,6,15,6,9
40,3,4,25,7,11
41,1,3,6,5,2
42,2,4,13,7,5
43,1,2,9,10,3
44,3,3,17,4,11
45,5,5,57,37,26
46,3,3,19,5,5
47,1,2,9,6,3
48,14,7,92,7,71
49,17,7,111,12,84
50,14,5,115,26,65
51,1,2,9,5,3
52,3,3,14,16,1
53,1,3,19,5,11
54,9,4,54,34,15
55,8,3,60,7,51
56,5,9,58,44,11
57,0,2,1,3,0
58,0,8,19,106,0
59,3,4,11,7,6
60,2,2,5,10,0
61,2,3,13,13,5
62,4,4,29,11,10
63,6,3,116,53,43
64,5,6,41,21,13
65,0,2,1,1,0
66,2,1,25,8,8
67,4,3,24,8,14
68,1,1,6,6,0
69,4,5,53,29,17
70,3,4,17,10,7
71,0,4,3,8,0
72,1,1,9,15,1
73,1,2,5,4,1
74,0,0,2,5,2
75,10,5,55,4,44
76,6,4,47,13,28
77,3,3,15,11,0
78,0,0,0,0,0
79,5,4,33,9,15
80,8,6,91,7,63
81,0,3,4,8,0
82,2,9,45,65,3
83,1,2,6,5,0
84,1,1,7,2,3
85,1,2,6,19,0
86,5,6,60,30,17
87,3,4,23,20,9
88,5,2,29,13,8
89,0,3,29,22,1
90,5,3,40,9,27
91,1,2,5,7,0
92,5,4,37,5,25
93,8,7,92,62,46
94,9,6,73,19,45
95,13,8,115,6,100
96,5,7,32,14,14
97,0,0,0,1,0
98,2,3,14,14,0
99,0,1,3,1,1
100,3,4,27,25,2
101,1,3,10,3,2
102,2,3,8,7,0
103,2,2,25,6,16
104,1,3,10,6,2
105,1,3,12,9,1
106,9,4,55,18,35
107,9,5,53,24,18
108,1,6,7,62,0
109,4,3,24,2,17
110,2,2,9,6,5
111,0,0,1,2,0
112,9,5,95,12,64
113,2,2,10,7,4
114,2,1,10,8,4
115,4,6,30,39,6
116,3,5,16,16,9
117,2,9,102,214,4
118,6,5,36,7,25
119,3,3,18,8,7
120,2,2,8,5,0
121,4,10,49,52,12
122,4,2,11,2,9
123,1,7,56,48,9
124,1,2,8,6,1
125,5,5,61,13,28
126,3,3,16,5,8
127,4,4,32,20,10
128,3,6,52,25,11
129,1,2,7,12,0
130,2,5,30,14,8
131,1,3,8,4,4
132,1,5,13,8,1
133,7,4,39,13,21
134,4,9,41,48,14
135,6,3,30,30,4
136,5,6,24,23,4
137,1,1,10,4,6
138,0,3,16,23,0
139,1,7,21,23,3
140,1,1,3,7,0
141,1,3,9,8,1
142,1,4,5,4,3
143,0,5,8,6,4
144,1,4,7,10,0
145,3,2,33,3,26
146,1,2,2,1,1
147,4,4,18,10,6
148,4,3,27,6,19
149,2,8,32,17,12
150,10,6,51,22,27
151,1,3,8,3,2
152,2,3,13,12,4
153,1,1,7,5,2
154,0,2,5,5,1
155,1,2,5,2,1
156,3,2,10,12,4
157,2,2,16,18,2
158,2,2,13,4,7
159,2,3,16,7,1
160,3,2,17,9,11
161,2,7,12,25,2
162,7,7,95,103,19
163,10,8,192,24,75
164,2,3,13,5,5
165,1,2,2,6,0
166,3,9,45,63,6
167,1,2,6,8,0
168,3,3,89,36,22
169,4,5,42,15,19
170,1,2,8,2,4
171,1,1,18,1,10
172,9,7,88,14,49
173,2,4,10,17,2
174,1,2,14,8,1
175,3,6,43,16,12
176,11,5,66,7,46
177,0,0,5,4,0
178,5,5,110,50,27
179,4,6,99,62,16
180,3,1,17,5,8
181,1,2,9,14,0
182,2,3,14,7,8
183,5,6,42,33,14
184,4,3,29,6,18
185,10,3,51,15,28
186,10,9,95,60,36
187,1,3,4,16,0
188,3,4,23,16,9
189,2,4,10,11,1
190,4,3,18,5,8
191,2,1,4,1,1
192,3,4,27,5,21
193,1,2,7,3,4
194,2,2,12,9,4
195,1,5,13,12,0
196,1,2,4,12,0
197,1,4,6,6,2
198,1,3,11,2,5
199,3,5,18,23,2
200,2,5,13,2,8
201,5,5,43,22,17
202,2,3,18,5,13
203,0,1,1,7,0
204,8,7,47,21,23
205,0,1,10,7,0
206,2,3,20,8,8
207,2,1,7,10,2
208,0,1,0,5,0
209,4,4,21,12,11
210,2,2,26,8,11
211,2,6,7,17,0
212,3,9,21,8,10
213,3,2,20,12,9
214,2,3,27,29,0
215,4,3,21,8,9
216,4,5,42,21,14
217,1,3,18,2,11
218,1,1,7,6,2
219,3,2,19,14,4
220,3,3,11,10,2
221,5,4,28,7,18
222,1,5,9,39,0
223,2,4,17,7,1
224,8,5,49,5,42
225,1,1,3,1,1
226,1,1,10,16,1
227,1,3,10,5,3
228,4,1,28,7,15
229,2,5,14,20,3
230,5,4,33,15,18
231,2,3,16,11,7
232,2,3,9,10,0
233,3,3,9,5,2
234,4,3,24,13,14
235,6,8,91,75,22
236,3,6,18,21,3
237,0,3,2,1,0
238,2,5,16,11,3
239,1,2,11,3,7
240,9,6,74,11,54
241,1,2,11,2,6
242,1,1,9,16,2
243,1,1,3,8,0
244,1,2,6,6,3
245,1,2,8,6,2
246,7,2,41,6,20
247,5,7,61,17,33
248,0,4,13,41,0
249,5,4,43,28,17
250,1,2,19,15,6
251,4,3,31,12,16
252,1,6,18,14,6
253,11,10,131,86,55
254,2,3,32,18,7
255,2,2,15,13,4
256,1,6,14,19,3
257,1,4,3,6,1
258,3,4,29,6,14
259,8,7,80,35,33
260,1,3,21,8,4
261,0,1,3,3,0
262,1,5,5,14,0
263,1,2,3,8,1
264,2,1,17,2,14
265,4,5,18,6,11
266,5,6,72,4,52
267,5,4,34,16,22
268,2,8,30,43,4
269,14,6,84,2,71
270,0,1,9,3,0
271,11,4,105,16,75
272,1,2,5,7,0
273,6,9,109,59,14
274,4,3,24,6,11
275,4,4,38,68,5
276,2,7,10,13,2
277,1,5,13,30,0
278,2,3,15,12,2
279,8,6,49,22,27
280,2,4,30,24,2
281,3,6,38,3,24
282,2,5,13,15,2
283,1,2,6,4,2
284,8,8,95,6,51
285,2,3,10,8,0
286,2,3,21,8,9
287,2,1,27,10,4
288,2,4,7,12,0
289,6,6,41,32,18
290,3,2,9,9,2
291,2,4,11,9,3
292,5,5,51,25,19
293,3,4,11,4,7
294,1,1,1,5,0
295,10,6,78,29,45
296,2,4,16,13,6
